Serbian Letter Frequency Tree
==================================================

Total Serbian letters: 341

┌── И: 20 (5.87%)
├── I: 19 (5.57%)
├── A: 17 (4.99%)
├── E: 16 (4.69%)
├── T: 16 (4.69%)
├── S: 15 (4.40%)
├── Е: 15 (4.40%)
├── С: 15 (4.40%)
├── А: 14 (4.11%)
├── Т: 13 (3.81%)
├── O: 10 (2.93%)
├── К: 10 (2.93%)
├── О: 10 (2.93%)
├── Р: 10 (2.93%)
├── K: 9 (2.64%)
├── R: 9 (2.64%)
├── L: 7 (2.05%)
├── M: 7 (2.05%)
├── М: 7 (2.05%)
├── N: 6 (1.76%)
├── Л: 6 (1.76%)
├── P: 5 (1.47%)
├── Z: 5 (1.47%)
├── В: 5 (1.47%)
├── З: 5 (1.47%)
├── Н: 5 (1.47%)
├── U: 4 (1.17%)
├── V: 4 (1.17%)
├── Č: 4 (1.17%)
├── П: 4 (1.17%)
├── У: 4 (1.17%)
├── B: 3 (0.88%)
├── H: 3 (0.88%)
├── J: 3 (0.88%)
├── Ž: 3 (0.88%)
├── Ј: 3 (0.88%)
├── Ж: 3 (0.88%)
├── Ч: 3 (0.88%)
├── Ш: 3 (0.88%)
├── D: 2 (0.59%)
├── Š: 2 (0.59%)
├── Ћ: 2 (0.59%)
├── C: 1 (0.29%)
├── Dž: 1 (0.29%)
├── F: 1 (0.29%)
├── Lj: 1 (0.29%)
├── Nj: 1 (0.29%)
├── Ć: 1 (0.29%)
├── Đ: 1 (0.29%)
├── Ђ: 1 (0.29%)
├── Љ: 1 (0.29%)
├── Њ: 1 (0.29%)
├── Џ: 1 (0.29%)
├── Б: 1 (0.29%)
├── Д: 1 (0.29%)
├── Ф: 1 (0.29%)
└── Ц: 1 (0.29%)
